,cost,round_num,shares_Harvard,shares_Yale,probability_Harvard,probability_Yale,purchase_agent1_Harvard,purchase_agent1_Yale,purchase_agent2_Harvard,purchase_agent2_Yale,purchase_agent3_Harvard,purchase_agent3_Yale,totalpurchase_agent1_Harvard,totalpurchase_agent1_Yale,totalpurchase_agent2_Harvard,totalpurchase_agent2_Yale,totalpurchase_agent3_Harvard,totalpurchase_agent3_Yale,belief_agent1_Harvard,belief_agent1_Yale,belief_agent2_Harvard,belief_agent2_Yale,belief_agent3_Harvard,belief_agent3_Yale,payment_agent1,payment_agent2,payment_agent3
0,169.31471805599452,0,100.0,100.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,169.31471805599452,1,100.0,100.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2,169.31471805599452,2,100.0,100.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
3,169.31471805599452,3,100.0,100.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
4,169.31471805599452,4,100.0,100.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
5,169.69091515086234,5,100.0,100.75098424969062,0.4981225481994341,0.5018774518005659,0.0,0.112647637453593,0.0,0.525688974783434,0.0,0.112647637453593,0.0,0.0,0.0,0.0,0.0,0.0,0.00980392156862745,0.9901960784313726,0.00980392156862745,0.9901960784313726,0.0,1.0,0.056339680588735064,0.26318992311672673,0.056339680588735064
6,170.1238228387426,6,100.0,101.61171556810197,0.4959707982990626,0.5040292017009375,0.0,0.11476417578817975,0.0,0.6312029668349887,0.0,0.11476417578817975,0.0,0.112647637453593,0.0,0.525688974783434,0.0,0.112647637453593,0.00980392156862745,0.9901960784313726,0.00980392156862745,0.9901960784313726,0.0,1.0,0.05761401536594235,0.3172845462628686,0.05761401536594235
7,170.6143365164054,7,100.0,102.58256330116491,0.4935439505721127,0.5064560494278874,0.0,0.11696960639312387,0.0,0.7369085202766803,0.0,0.11696960639312387,0.0,0.22741181324177276,0.0,1.1568919416184227,0.0,0.22741181324177276,0.00980392156862745,0.9901960784313726,0.00980392156862745,0.9901960784313726,0.0,1.0,0.05897319852934402,0.3721021468606125,0.05897319852934402
8,171.1634660306124,8,100.0,103.6639367451306,0.49084118271361804,0.5091588172863819,0.0,0.11926912984915693,0.0,0.8428351842673756,0.0,0.11926912984915693,0.0,0.34438141963489666,0.0,1.893800461895103,0.0,0.34438141963489666,0.00980392156862745,0.9901960784313726,0.00980392156862745,0.9901960784313726,0.0,1.0,0.060422350671927916,0.4277467588017032,0.060422350671927916
9,171.77233794066936,9,100.0,104.85628675928528,0.48786166854632484,0.5121383314536752,0.0,0.1216683687912959,0.0,0.9490132765721081,0.0,0.1216683687912959,0.0,0.4636505494840536,0.0,2.736635646162479,0.0,0.4636505494840536,0.00980392156862745,0.9901960784313726,0.00980392156862745,0.9901960784313726,0.0,1.0,0.06196702039758861,0.48432381306648153,0.06196702039758861
